Part Number,Description,Qty,Package,Source,Unit Price (USD),Notes
DIGITAL-MULTIMETER 9205,Multimeter,1,,DigiKey,17.47,Personal
Saleae, Logic Analyzer 8 Channel,1,,AliExpress,6.2,Personal
